,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
h10,342.005770113675,356.4730494127275,369.18004099048153,392.630998852986,394.197271275265,399.126419465771,362.21764497186547,364.91353177675103,402.5307794813055,378.6201526906005,380.51794075794146,401.787414745216,401.47910594731803,384.544799084985,381.113800954515,383.3519453188275,394.401253112691,352.95216684709453,302.643422945323,349.33782631329854,374.895577664973,353.3534347262865,341.24293090825,378.6974146114845,351.98902685996654,333.3825555180565,374.008807703111,339.640006852178,453.244310270962,374.565993734823
h11,350.9542545815975,364.98436152770455,378.6576105317865,378.8105817407175,374.159005057251,391.0591015297375,345.81882499730597,364.9166894555625,403.0763223069625,397.06324952628,376.913803383799,417.203778126001,401.753951622478,382.707235863942,386.3004584012985,374.646347335063,407.030565142468,340.1081889331945,230.94496931586,329.1679501781385,355.79894708590746,334.47966538817445,334.629054991223,367.9222758136205,361.3778156263615,351.752501410006,396.71404368865797,340.624105500297,402.6283715656995,357.2009607662085
h12,353.711719469256,358.230803760364,359.5886604214995,377.186123465781,346.0404355912445,382.7017646458515,354.6695899774665,353.5358632338415,388.2265383479985,386.725180191767,353.57177723163153,420.69209695209645,388.9252537055055,334.0448727904045,348.2810256595165,360.58036693572546,438.8434650588225,332.96120559569,266.8094487645135,279.7812708179635,356.224486064821,303.622126265933,314.2581195563725,349.68005431596697,328.0191081124025,359.2446768726345,392.68362614145104,359.130309687458,428.8713744942075,358.984563221602
h13,352.566802429096,369.35550096363653,376.710833586197,388.778401888004,360.8635068367975,390.140407686733,342.14474911842353,336.61902383791147,367.1973673439905,393.44975117498296,381.1096826857945,387.07469429118754,383.2583639081735,369.049587369642,344.6040301143825,378.358955968673,392.3993829031795,371.875672190251,286.03465426226296,283.23562334029003,357.1713807211625,271.8664736400575,333.1984661772405,365.767662963077,296.4826225554825,356.4832319723305,373.634513182997,355.5990544964075,431.031134762165,370.1015452305255
h14,372.39821781301305,381.6350532098415,336.00869508491496,442.42172591349896,367.020072739996,396.6289523342,351.54182913083446,294.9754971962115,371.58657301724503,447.2594613462665,388.5046678352825,397.8685089940585,447.137346643531,378.99052790181446,358.623941197864,379.736117308149,389.16219650535,374.75272551226954,291.55619221319154,338.421272763542,357.41366263734346,282.787671921367,332.3907787113355,366.7756483056625,311.51940576517103,372.3428514693435,367.5650016943235,349.339212446813,435.88009020999704,379.02960943161304
h15,381.5275429033165,379.390515030459,352.0909700300595,395.45562670707,353.08077126222946,412.36201543650304,359.3130154260255,298.142966480706,343.3476480088755,457.310594572289,363.36727974919603,396.294259810654,433.6201361969495,400.801907586922,308.399860118832,379.44498161374304,389.664802115074,374.300475435306,320.6591291784105,331.851756567615,333.4501239362125,244.293876951782,331.45126753100953,380.623003075654,344.4864015498535,363.3690935342185,380.9670791804725,325.24810295232896,447.872502085098,332.263080207923
h16,363.77451186320195,388.3293504429955,367.455691014966,410.578365160501,367.70580273735897,398.214075297744,348.8078927208915,315.6109608799425,375.4876138696075,433.24438837434496,378.53617054019,401.85070732517505,405.6335734779945,436.3258633207115,296.099091901136,395.0160770971715,403.071484738469,372.427065118845,281.71819261652246,362.3993255753395,306.9823925876775,292.193969724317,342.997795310567,377.360566798889,338.3226874345225,364.504160596936,396.48880930263755,309.473365921484,425.33297691056447,327.517875288602
h17,347.9316625169085,368.392339592523,381.675833798342,403.225102437911,358.8871415810575,384.061372579515,361.46453327968953,248.97477632808952,372.24261044090304,422.110932959622,379.64750851287897,408.315594276796,386.58421353717995,419.11573484590696,339.1913138579885,403.611479657612,406.1171635084555,374.4106393347945,251.778476369804,357.289719110233,271.13369133390603,247.8673808907865,252.11922791275248,372.7636678883945,261.42232221689346,400.18637984606,378.4393869760735,290.0840369985935,401.31415965572046,312.778379005468
h18,362.3763977327535,388.089160011686,365.14441396033595,391.6279393334665,369.8067669663845,407.1803764480475,353.71845529790255,273.907307495883,359.600619487161,428.76623796039746,369.6860098357755,418.523174585613,408.842283472408,423.05539634061853,314.9629713019695,426.24443832881497,407.883939161166,368.17199528807197,270.668293606424,367.00634737381097,312.9500776659025,309.67192433700353,332.340736248699,356.91652363260204,244.861797407682,380.578150840175,365.057040071095,214.843561596357,401.518031638237,347.86738850555747
h19,385.8736343914805,397.1712328349775,382.78945616107853,388.68235587352,369.863919220803,413.7015863053105,388.453856797345,274.94058740077446,341.6081472852685,497.111443858125,378.435263262804,412.3644098056435,400.1105488987375,449.62919240543,274.992126289539,488.238200489139,413.44521807446,368.38705449842,243.217115798047,388.95970768319546,341.3183702384835,370.8654598811765,366.2967699817375,378.83569250101203,343.4516697552745,378.142019037158,341.19075196362854,252.6542711195045,378.01315535403853,196.90603071569402
h20,412.178315643747,408.183272062476,381.87546808463503,372.9541054503655,382.9458344348095,407.754215653055,372.0656411528075,225.58840000224,380.85885590512,469.29858790569,385.2396182613405,416.463882691043,406.23368795398903,419.5719421062935,260.7030325501895,426.181185267825,425.2574907537365,357.85333092828,242.7397793869495,389.8091245218395,354.03059840511247,352.174005343335,376.79925628947245,384.2485888116575,364.6249800154465,414.8770771567435,362.0209006430145,331.8918419377685,386.1895751030745,278.8084446590105
h21,391.442716364354,449.9158890385095,364.9378026354505,375.5002777070955,375.1659899366375,419.41242151639455,383.4804824267255,212.783124776075,404.367768120069,494.650649642923,390.175681252802,405.420700910162,386.9666218431475,412.893355792195,346.421879719932,400.6379210427575,472.351937953657,378.18257170522253,358.488101287025,380.370692805336,374.51029175772646,330.5527244392585,357.4655674148285,385.38876291126303,355.638644321986,422.31170075262804,333.5529107778615,263.99426748160647,382.224792680707,323.839299873821
h22,407.54045922878953,406.582593466684,309.57748626428,368.1625019157455,362.258581739165,418.9378463022435,375.3070695172405,310.9814265916275,395.13768186464546,416.6742354582975,372.7597105574675,394.02798962922395,373.0105589399655,421.167883726968,363.0123789448115,378.155700885221,456.0597987430195,371.137616255515,230.48674933747048,395.4398495114285,382.057881737152,352.2078957778005,261.16298601418805,363.0005930874795,354.50709617805995,399.156504352911,333.814397096997,312.0628998718215,347.86770647676303,375.8195521872745
h23,375.988472998675,389.4476547502195,290.745233236703,341.829572161787,343.7722036690615,350.077862857753,372.333954503332,292.312525686433,394.846611955959,389.1717005700525,335.068140172194,393.48311713893804,333.9126639958065,369.375981097801,350.4086891613735,356.26170666685346,425.222013549287,353.425641364025,284.7631177500365,396.54891448721753,343.8162835270995,306.510087007773,307.239228501296,318.5724470663785,332.563576847145,365.5293724447415,331.3714648176425,238.5151101782605,370.50302667728454,353.335753980055
